day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Fri,051925,1925,1715,9.1808,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Fri,051925,1925,0420,656.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Fri,051925,1925,1715,8.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Fri,051525,1525,1715,230.8192,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Fri,051525,1525,0420,543.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Fri,051525,1525,1715,231.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Fri,051030,1030,1715,525.8192,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Fri,051030,1030,0420,248.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Fri,051030,1030,1715,526.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Fri,050430,0430,1855,358.4266,MXP,PFO,BRU,MAN,0.1661,10.9843,2061.4976,46.6679,12806.2937,12785.0221,8.7281,45.6306,32.4857,34.718,8.0381,48.1119,6.0887,49.6948,4.4844,50.9014,-2.2749,53.3537
Fri,051520,1520,0550,570,CDG,CDG,LIS,OPO,0.45187,62.8934,1360.1599,19.9184,8072.2785,8035.8026,2.5478,49.0097,2.5478,49.0097,0.51126,47.8319,-7.2548,42.4211,-9.1359,38.7813,-8.6814,41.2481
Fri,051520,1520,0535,566.9233,CDG,LTN,LIS,FAO,3.0954,61.4103,1651.2021,76.1152,9434.4088,9142.3804,2.5478,49.0097,-0.36833,51.8747,-1.2438,47.5695,-7.3725,39.5959,-9.1359,38.7813,-7.9659,37.0144
Fri,051520,1520,1500,1.9233,CDG,LTN,LIS,FAO,3.0954,61.4103,1651.2021,76.1152,9434.4088,9142.3804,2.5478,49.0097,-0.36833,51.8747,-1.2438,47.5695,-7.3725,39.5959,-9.1359,38.7813,-7.9659,37.0144
Fri,051520,1520,1030,272.5895,CDG,STN,LIS,OVD,0.29947,33.5374,1284.0436,62.0449,7568.858,7546.1912,2.5478,49.0097,0.235,51.885,-1.2777,47.8953,-4.7291,44.8403,-9.1359,38.7813,-6.0346,43.5636
Fri,051520,1520,1910,233.1189,CDG,GVA,LIS,LIS,2.1112,57.593,1515.4611,65.6516,8758.3305,8573.4278,2.5478,49.0097,6.109,46.2381,0.060814,45.3034,-7.7201,39.9247,-9.1359,38.7813,-9.1359,38.7813
Fri,051520,1520,1945,256.5174,CDG,LYS,LIS,LIS,1.8999,56.2049,1466.4417,64.5652,8507.2085,8345.5842,2.5478,49.0097,5.0811,45.7256,-0.28413,44.9145,-7.6977,39.9077,-9.1359,38.7813,-9.1359,38.7813
Fri,051520,1520,0820,423.383,CDG,LYS,LIS,OPO,1.6128,45.2387,1373.1595,62.011,8030.5938,7901.0727,2.5478,49.0097,5.0811,45.7256,-0.72473,45.2371,-6.6025,41.6286,-9.1359,38.7813,-8.6814,41.2481
Fri,051520,1520,1105,246.99,CDG,GVA,LIS,OPO,1.8356,47.6277,1420.558,62.9018,8273.8253,8121.9541,2.5478,49.0097,6.109,46.2381,-0.26096,45.6656,-6.6494,41.7006,-9.1359,38.7813,-8.6814,41.2481
Fri,051520,1520,1720,144.6393,CDG,STN,LIS,AGP,1.6842,46.2486,1641.9414,82.4549,9370.0145,9212.208,2.5478,49.0097,0.235,51.885,-0.10978,47.8054,-4.5152,41.7313,-9.1359,38.7813,-4.4991,36.6749
Fri,051520,1520,0835,377.3889,CDG,LPL,LIS,FAO,1.9196,47.756,1705.2281,83.655,9694.7509,9508.6528,2.5478,49.0097,-2.8497,53.3336,-3.3237,46.3683,-7.4477,39.691,-9.1359,38.7813,-7.9659,37.0144
Fri,051520,1520,1215,147.4172,CDG,BFS,LIS,FAO,0.81558,33.0971,1757.7927,79.6374,9977.4576,9896.0839,2.5478,49.0097,-6.2158,54.6575,-5.3377,44.7584,-7.557,39.7901,-9.1359,38.7813,-7.9659,37.0144
Fri,051520,1520,1550,49.7611,CDG,SEN,LIS,AGP,0.70748,49.593,1632.1706,88.3201,9304.2068,9238.3813,2.5478,49.0097,0.69556,51.5714,0.10263,48.2454,-4.4408,41.7102,-9.1359,38.7813,-4.4991,36.6749
Fri,051520,1520,0445,620.908,CDG,LGW,LIS,AGP,2.1895,45.8445,1597.5896,80.3746,9145.6469,8945.4023,2.5478,49.0097,-0.19028,51.1481,-0.41472,47.6356,-4.5714,41.7462,-9.1359,38.7813,-4.4991,36.6749
Fri,051520,1520,0625,519.4257,CDG,LGW,LIS,MAD,1.9931,45.5934,1375.6131,68.6914,8026.0012,7866.0317,2.5478,49.0097,-0.19028,51.1481,-0.24176,47.6253,-3.6538,42.5238,-9.1359,38.7813,-3.5668,40.4936
