day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Sun,071045,1045,1745,540.8192,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Sun,071045,1045,0935,51.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Sun,071045,1045,1715,511.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Sun,070430,0430,2015,314.2349,MXP,DLM,BRU,MAN,0.01238,13.782,1866.5963,44.9898,11667.0604,11665.616,8.7281,45.6306,28.7925,36.7131,8.194,47.8425,6.0475,49.6731,4.4844,50.9014,-2.2749,53.3537
Sun,070430,0430,1130,636.5734,MXP,PFO,BRU,MAN,0.1661,10.9843,2061.4976,46.6679,12806.2937,12785.0221,8.7281,45.6306,32.4857,34.718,8.0381,48.1119,6.0887,49.6948,4.4844,50.9014,-2.2749,53.3537
Sun,070430,0430,1925,328.4266,MXP,PFO,BRU,MAN,0.1661,10.9843,2061.4976,46.6679,12806.2937,12785.0221,8.7281,45.6306,32.4857,34.718,8.0381,48.1119,6.0887,49.6948,4.4844,50.9014,-2.2749,53.3537
Sun,070605,0605,1520,555,CDG,CDG,LIS,LIS,1.682,74.4593,1469.6037,-1.0914e-11,8690.8229,8544.6475,2.5478,49.0097,2.5478,49.0097,0.70871,47.6981,-7.9343,40.0636,-9.1359,38.7813,-9.1359,38.7813
Sun,070605,0605,0450,75,CDG,CDG,LIS,OPO,0.45187,62.8934,1360.1599,19.9184,8072.2785,8035.8026,2.5478,49.0097,2.5478,49.0097,0.51126,47.8319,-7.2548,42.4211,-9.1359,38.7813,-8.6814,41.2481
Sun,070605,0605,1555,590,CDG,CDG,LIS,OPO,0.45187,62.8934,1360.1599,19.9184,8072.2785,8035.8026,2.5478,49.0097,2.5478,49.0097,0.51126,47.8319,-7.2548,42.4211,-9.1359,38.7813,-8.6814,41.2481
Sun,070605,0605,1135,348.0767,CDG,LTN,LIS,FAO,3.0954,61.4103,1651.2021,76.1152,9434.4088,9142.3804,2.5478,49.0097,-0.36833,51.8747,-1.2438,47.5695,-7.3725,39.5959,-9.1359,38.7813,-7.9659,37.0144
