day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Thu,041925,1925,1715,9.1808,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Thu,041925,1925,0420,656.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Thu,041925,1925,1715,8.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Thu,041525,1525,1715,230.8192,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Thu,041525,1525,0420,543.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Thu,041525,1525,1715,231.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Thu,041030,1030,1715,525.8192,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Thu,041030,1030,0420,248.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Thu,041030,1030,1715,526.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Thu,040430,0430,1855,358.4266,MXP,PFO,BRU,MAN,0.1661,10.9843,2061.4976,46.6679,12806.2937,12785.0221,8.7281,45.6306,32.4857,34.718,8.0381,48.1119,6.0887,49.6948,4.4844,50.9014,-2.2749,53.3537
Thu,040430,0430,1720,418.4051,MXP,TLV,BRU,MAN,0.35299,10.9919,2248.3207,46.8967,13902.3583,13853.2837,8.7281,45.6306,34.8867,32.0114,8.1404,47.9295,6.0593,49.6792,4.4844,50.9014,-2.2749,53.3537
Thu,040945,0945,0725,166.8212,LIS,OPO,CDG,CDG,1.8053,63.8966,1357.5129,14.6243,8072.2785,7926.5478,-9.1359,38.7813,-8.6814,41.2481,-6.6452,42.1625,0.76834,47.9539,2.5478,49.0097,2.5478,49.0097
Thu,040945,0945,0830,62.0142,LIS,FAO,CDG,LTN,2.0401,60.0162,1649.5278,72.7665,9434.4088,9241.9377,-9.1359,38.7813,-7.9659,37.0144,-7.2021,39.7716,-1.2438,47.5695,2.5478,49.0097,-0.36833,51.8747
Thu,040945,0945,0835,64.4793,LIS,AGP,CDG,STN,2.2705,46.2442,1641.934,82.4402,9370.0145,9157.2689,-9.1359,38.7813,-4.4991,36.6749,-4.5116,41.7303,-0.11097,47.8053,2.5478,49.0097,0.235,51.885
Thu,040945,0945,1820,534.179,LIS,TNG,CDG,CDG,2.3279,58.727,1583.5166,67.3793,9106.4039,8894.4168,-9.1359,38.7813,-5.9169,35.7269,-5.3238,40.7598,1.1342,47.7352,2.5478,49.0097,2.5478,49.0097
Thu,040945,0945,0750,59.9273,LIS,CMN,CDG,CDG,2.7474,61.0878,1734.7276,68.7056,9886.2883,9614.6708,-9.1359,38.7813,-7.59,33.3675,-6.62,40.0019,1.0563,47.7747,2.5478,49.0097,2.5478,49.0097
Thu,040945,0945,1020,10.887,LIS,OPO,CDG,GVA,0.57692,46.0258,1419.4378,60.6614,8273.8253,8226.0923,-9.1359,38.7813,-8.6814,41.2481,-6.4179,41.821,-0.25859,45.6622,2.5478,49.0097,6.109,46.2381
Thu,040945,0945,0830,65.7294,LIS,AGP,CDG,LPL,1.3849,31.9748,1700.4804,74.588,9693.6411,9559.3925,-9.1359,38.7813,-4.4991,36.6749,-4.9674,41.8294,-2.3624,46.3478,2.5478,49.0097,-2.8497,53.3336
