day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Tue,021925,1925,1715,9.1808,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Tue,021925,1925,0420,656.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Tue,021925,1925,1715,8.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Tue,021525,1525,1715,230.8192,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Tue,021525,1525,0420,543.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Tue,021525,1525,1715,231.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Tue,021030,1030,1715,525.8192,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Tue,021030,1030,0420,248.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Tue,021030,1030,1715,526.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Tue,020430,0430,2015,314.2349,MXP,DLM,BRU,MAN,0.01238,13.782,1866.5963,44.9898,11667.0604,11665.616,8.7281,45.6306,28.7925,36.7131,8.194,47.8425,6.0475,49.6731,4.4844,50.9014,-2.2749,53.3537
Tue,020430,0430,1925,328.4266,MXP,PFO,BRU,MAN,0.1661,10.9843,2061.4976,46.6679,12806.2937,12785.0221,8.7281,45.6306,32.4857,34.718,8.0381,48.1119,6.0887,49.6948,4.4844,50.9014,-2.2749,53.3537
Tue,020945,0945,1825,520,LIS,LIS,CDG,CDG,1.682,74.4593,1469.6037,-4.411e-11,8690.8229,8544.6475,-9.1359,38.7813,-9.1359,38.7813,-7.7718,40.2325,0.91893,47.853,2.5478,49.0097,2.5478,49.0097
Tue,020945,0945,0840,91.8212,LIS,OPO,CDG,CDG,1.8053,63.8966,1357.5129,14.6243,8072.2785,7926.5478,-9.1359,38.7813,-8.6814,41.2481,-6.6452,42.1625,0.76834,47.9539,2.5478,49.0097,2.5478,49.0097
Tue,020945,0945,2055,638.0315,LIS,IBZ,CDG,LTN,0.27675,8.6806,1472.6096,23.601,8645.2638,8621.3382,-9.1359,38.7813,1.3731,38.8729,0.0016725,46.5722,0.52672,47.6649,2.5478,49.0097,-0.36833,51.8747
Tue,020945,0945,0835,64.4793,LIS,AGP,CDG,STN,2.2705,46.2442,1641.934,82.4402,9370.0145,9157.2689,-9.1359,38.7813,-4.4991,36.6749,-4.5116,41.7303,-0.11097,47.8053,2.5478,49.0097,0.235,51.885
Tue,020945,0945,1820,534.179,LIS,TNG,CDG,CDG,2.3279,58.727,1583.5166,67.3793,9106.4039,8894.4168,-9.1359,38.7813,-5.9169,35.7269,-5.3238,40.7598,1.1342,47.7352,2.5478,49.0097,2.5478,49.0097
Tue,020945,0945,0750,59.9273,LIS,CMN,CDG,CDG,2.7474,61.0878,1734.7276,68.7056,9886.2883,9614.6708,-9.1359,38.7813,-7.59,33.3675,-6.62,40.0019,1.0563,47.7747,2.5478,49.0097,2.5478,49.0097
Tue,020945,0945,1100,51.5823,LIS,OPO,CDG,LYS,0.19919,43.8789,1372.1983,60.0886,8030.5938,8014.5976,-9.1359,38.7813,-8.6814,41.2481,-6.4073,41.7235,-0.72256,45.2351,2.5478,49.0097,5.0811,45.7256
Tue,020945,0945,1020,10.887,LIS,OPO,CDG,GVA,0.57692,46.0258,1419.4378,60.6614,8273.8253,8226.0923,-9.1359,38.7813,-8.6814,41.2481,-6.4179,41.821,-0.25859,45.6622,2.5478,49.0097,6.109,46.2381
Tue,020945,0945,0830,65.7294,LIS,AGP,CDG,LPL,1.3849,31.9748,1700.4804,74.588,9693.6411,9559.3925,-9.1359,38.7813,-4.4991,36.6749,-4.9674,41.8294,-2.3624,46.3478,2.5478,49.0097,-2.8497,53.3336
Tue,020945,0945,1200,149.0745,LIS,FAO,CDG,LPL,0.87811,46.3425,1703.6421,80.4828,9694.7509,9609.6205,-9.1359,38.7813,-7.9659,37.0144,-7.2945,39.8835,-3.325,46.3684,2.5478,49.0097,-2.8497,53.3336
Tue,020945,0945,1335,201.6366,LIS,OPO,CDG,LGW,0.63577,52.3582,1411.6996,75.5252,8195.2393,8143.1367,-9.1359,38.7813,-8.6814,41.2481,-6.8348,42.4044,-1.5037,47.8904,2.5478,49.0097,-0.19028,51.1481
