day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Wed,031925,1925,1715,9.1808,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Wed,031925,1925,0420,656.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Wed,031925,1925,1715,8.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Wed,031525,1525,1715,230.8192,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Wed,031525,1525,0420,543.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Wed,031525,1525,1715,231.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Wed,031030,1030,1715,525.8192,MXP,BSL,CDG,BRU,0.011555,5.1732,1201.4344,11.6228,7271.5182,7270.678,8.7281,45.6306,5.7417,34.8017,5.0982,47.5272,4.7026,48.0189,2.5478,49.0097,4.4844,50.9014
Wed,031030,1030,0420,248.6931,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Wed,031030,1030,1715,526.3069,MXP,BSL,CDG,AMS,0.28113,3.7309,1277.7376,9.0672,7673.4117,7651.8394,8.7281,45.6306,5.7417,34.8017,5.2999,47.467,5.0053,47.8471,2.5478,49.0097,4.7639,52.3086
Wed,030430,0430,1130,636.5734,MXP,PFO,BRU,MAN,0.1661,10.9843,2061.4976,46.6679,12806.2937,12785.0221,8.7281,45.6306,32.4857,34.718,8.0381,48.1119,6.0887,49.6948,4.4844,50.9014,-2.2749,53.3537
Wed,030430,0430,1925,328.4266,MXP,PFO,BRU,MAN,0.1661,10.9843,2061.4976,46.6679,12806.2937,12785.0221,8.7281,45.6306,32.4857,34.718,8.0381,48.1119,6.0887,49.6948,4.4844,50.9014,-2.2749,53.3537
Wed,031425,1425,0535,508.2783,CDG,LTN,CMN,FAO,2.934,60.806,1893.4611,99.0909,10629.8742,10317.9957,2.5478,49.0097,-0.36833,51.8747,-0.73072,47.531,-6.4918,38.0708,-7.59,33.3675,-7.9659,37.0144
Wed,031425,1425,1115,168.2783,CDG,LTN,CMN,FAO,2.934,60.806,1893.4611,99.0909,10629.8742,10317.9957,2.5478,49.0097,-0.36833,51.8747,-0.73072,47.531,-6.4918,38.0708,-7.59,33.3675,-7.9659,37.0144
Wed,031425,1425,1605,114.9123,CDG,MXP,CMN,LIS,1.4528,32.1812,1831.9214,80.9903,10357.9629,10207.487,2.5478,49.0097,8.7281,45.6306,-0.28295,43.8857,-5.2291,40.0636,-7.59,33.3675,-9.1359,38.7813
Wed,031425,1425,0400,647.2177,CDG,LYS,CMN,RAK,3.9216,64.431,1970.283,75.4567,11089.0519,10654.1838,2.5478,49.0097,5.0811,45.7256,1.3718,44.3573,-6.6362,34.7391,-7.59,33.3675,-8.0363,31.6069
Wed,031425,1425,0415,608.1259,CDG,MXP,CMN,CMN,2.4574,56.5861,1985.071,91.8042,11123.3157,10849.9756,2.5478,49.0097,8.7281,45.6306,0.77957,43.0424,-6.5786,34.7104,-7.59,33.3675,-7.59,33.3675
Wed,031425,1425,0500,566.3771,CDG,GVA,CMN,LIS,2.0346,41.8102,1756.28,85.7474,9953.796,9751.2762,2.5478,49.0097,6.109,46.2381,0.482,44.9771,-5.5362,40.0791,-7.59,33.3675,-9.1359,38.7813
Wed,031425,1425,1910,283.6229,CDG,GVA,CMN,LIS,2.0346,41.8102,1756.28,85.7474,9953.796,9751.2762,2.5478,49.0097,6.109,46.2381,0.482,44.9771,-5.5362,40.0791,-7.59,33.3675,-9.1359,38.7813
Wed,031425,1425,0405,618.4848,CDG,MXP,CMN,RAK,2.5776,53.9394,2082.4546,108.673,11584.1002,11285.5091,2.5478,49.0097,8.7281,45.6306,0.78504,43.0393,-6.5779,34.71,-7.59,33.3675,-8.0363,31.6069
