day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Thu,040555,0555,0355,431.7448,SHJ,RGN,SIN,SIN,1.0826,22.8465,3952.4932,138.0774,85425.992,84501.1522,55.5172,25.3286,96.1332,16.9073,97.6448,9.0972,102.813,2.808,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1950,192.4937,SHJ,BRU,SIN,BOM,1.8886,24.2863,6439.9375,178.8353,149499.3385,146675.905,55.5172,25.3286,4.4844,50.9014,57.1368,24.8489,71.3149,19.7445,103.9944,1.3502,72.8679,19.0887
Thu,040555,0555,0945,590.0517,SHJ,ZRH,SIN,SIN,2.4962,66.9338,8210.3828,280.1466,200346.881,195345.8536,55.5172,25.3286,8.5492,47.4647,57.1779,25.6,102.5171,2.2636,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1030,654.0389,SHJ,CPH,SIN,SIN,5.505,62.001,8158.575,514.506,149311.1416,141091.574,55.5172,25.3286,12.656,55.6179,61.5125,25.1709,102.4346,2.3936,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,0955,592.5919,SHJ,MXP,SIN,SIN,6.3054,66.6131,8185.874,227.6246,157643.5062,147703.4578,55.5172,25.3286,8.7281,45.6306,57.1217,24.8097,102.3778,2.3368,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,2000,588.378,SHJ,CMB,SIN,SIN,3.558,52.3868,4365.184,145.6345,87818.6654,84694.0795,55.5172,25.3286,79.8841,7.1808,82.6434,7.9204,102.3803,1.8686,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1400,486.2705,SHJ,DXB,SIN,SIN,7.0787,93.2821,5840.9734,0.26863,107622.678,100004.346,55.5172,25.3286,55.3644,25.2528,57.3583,24.707,102.547,2.2328,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1600,606.4037,SHJ,DXB,SIN,SIN,7.3467,92.0227,5840.9352,0.19231,120067.3893,111246.403,55.5172,25.3286,55.3644,25.2528,57.8339,24.5401,102.3772,2.3358,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1735,479.9279,SHJ,BLR,SIN,SIN,5.8399,61.1414,4520.2291,25.8671,95345.2296,89777.1612,55.5172,25.3286,77.7055,13.1989,79.4718,12.4851,102.3032,2.1636,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1745,469.5054,SHJ,MAA,SIN,SIN,4.9471,57.593,4385.2405,11.0496,88935.8053,84536.0713,55.5172,25.3286,80.1805,12.9944,81.9444,12.2083,102.4886,2.1291,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1730,551.876,SHJ,AMD,SIN,SIN,5.7964,74.7422,5027.7761,63.8437,96815.84,91204.0111,55.5172,25.3286,72.6346,23.0772,74.3847,22.0923,102.657,2.3919,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1030,675.6857,SHJ,LHR,SIN,SIN,2.6363,61.1488,8544.3774,370.6575,207605.195,202132.0252,55.5172,25.3286,-0.46139,51.4775,60.1134,25.6663,102.5499,2.3147,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1935,214.0814,SHJ,LHR,SIN,SIN,5.3533,63.5804,8576.3264,434.5554,162476.6669,153778.7936,55.5172,25.3286,-0.46139,51.4775,57.1217,24.8097,102.3778,2.3368,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,2105,129.3143,SHJ,LHR,SIN,SIN,2.6363,61.1488,8544.3774,370.6575,207605.195,202132.0252,55.5172,25.3286,-0.46139,51.4775,60.1134,25.6663,102.5499,2.3147,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,0915,622.4441,SHJ,AMS,SIN,SIN,5.6912,64.8614,8409.914,470.9066,153654.118,144909.3373,55.5172,25.3286,4.7639,52.3086,57.1217,24.8097,102.3925,2.3278,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,2000,233.5695,SHJ,FRA,SIN,SIN,5.5326,66.096,8249.9115,383.5384,157409.0902,148700.3113,55.5172,25.3286,8.5431,50.0264,57.1217,24.8097,102.3778,2.3368,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1125,672.165,SHJ,MUC,SIN,SIN,5.7866,67.2308,8110.6695,327.9013,155532.6032,146532.5531,55.5172,25.3286,11.7861,48.3538,57.1217,24.8097,102.3778,2.3368,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1000,637.8229,SHJ,CDG,SIN,SIN,2.4733,64.9622,8443.0033,326.1811,205615.8791,200530.3433,55.5172,25.3286,2.5478,49.0097,57.2505,25.4997,102.526,2.2778,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,0300,646.8427,SHJ,EWR,SIN,SIN,2.5091,48.0765,11331.3328,1491.2381,185668.0052,181009.4391,55.5172,25.3286,-74.1687,40.6925,57.1217,24.8097,102.3381,2.3609,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1035,638.2268,SHJ,FRA,SIN,SIN,2.5659,64.3232,8224.6821,333.0794,200041.0221,194908.1132,55.5172,25.3286,8.5431,50.0264,59.4029,25.6618,102.5444,2.3063,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,1030,530.7083,SHJ,IST,SIN,SIN,7.1274,74.3585,7335.7926,167.298,138989.0347,129082.691,55.5172,25.3286,28.8146,40.9769,57.1217,24.8097,102.3925,2.3278,103.9944,1.3502,103.9944,1.3502
Thu,040555,0555,0225,341.6044,SHJ,DEL,SIN,SIN,4.91,61.5584,5107.0401,220.1457,103131.1384,98067.4327,55.5172,25.3286,77.1121,28.5687,80.5967,21.0552,102.6089,2.6158,103.9944,1.3502,103.9944,1.3502
