day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Mon,010530,0530,0355,44.5876,BKK,RGN,SIN,SIN,1.7916,60.154,1699.2303,49.6221,29135.6416,28613.645,100.7473,13.6811,96.1332,16.9073,100.4373,11.8402,103.4477,3.1448,103.9944,1.3502,103.9944,1.3502
Mon,011645,1645,1555,49.1326,SIN,SIN,SYD,MEL,3.9203,87.8077,6328.1951,329.9281,133932.0212,128681.4275,103.9944,1.3502,103.9944,1.3502,105.5194,-0.49165,142.9451,-36.5365,151.1772,-33.9461,144.8433,-37.6733
Mon,010840,0840,0820,41.6093,ADL,MEL,SIN,SIN,7.7558,87.4458,5721.3658,7.7394,75971.0732,70078.9404,138.5306,-34.945,144.8433,-37.6733,136.8116,-33.6937,105.0445,0.019981,103.9944,1.3502,103.9944,1.3502
Mon,011325,1325,0910,26.5424,CGK,PER,SIN,SIN,0.30272,19.4577,2396.6687,0.37046,40616.6524,40493.6983,106.6559,-6.1256,115.9669,-31.9403,106.0272,-4.3696,104.6218,-0.41773,103.9944,1.3502,103.9944,1.3502
Mon,011245,1245,1710,37.1174,BNE,PER,SIN,SIN,0.85529,30.4723,5160.7953,268.1428,73051.5146,72426.7115,153.1175,-27.3842,115.9669,-31.9403,112.5913,-12.2037,104.9875,-0.24135,103.9944,1.3502,103.9944,1.3502
Mon,010545,0545,0515,6.4342,MEL,SYD,SIN,SIN,7.4208,84.8084,6232.3244,138.1869,158940.173,147145.4935,144.8433,-37.6733,151.1772,-33.9461,141.6101,-32.8499,105.1692,0.071555,103.9944,1.3502,103.9944,1.3502
Mon,012045,2045,2340,3.0497,SYD,PER,SIN,SIN,2.5103,42.5923,5239.4132,274.6508,87365.0763,85171.9532,151.1772,-33.9461,115.9669,-31.9403,114.8965,-17.8093,104.9058,-0.30923,103.9944,1.3502,103.9944,1.3502
Mon,011405,1405,1600,116.4037,SHJ,DXB,SIN,SIN,7.3467,92.0227,5840.9352,0.19231,120067.3893,111246.403,55.5172,25.3286,55.3644,25.2528,57.8339,24.5401,102.3772,2.3358,103.9944,1.3502,103.9944,1.3502
Mon,011205,1205,1225,19.4178,SIN,SIN,BLR,MAA,4.4941,82.6478,3055.8478,7.6311,46659.1793,44562.2724,103.9944,1.3502,103.9944,1.3502,102.3129,2.2199,81.7606,12.2909,77.7055,13.1989,80.1805,12.9944
Mon,012000,2000,1745,116.1025,CMB,MAA,SIN,SIN,4.3588,68.6915,2892.2915,110.3762,39132.615,37426.8834,79.8841,7.1808,80.1805,12.9944,85.4971,7.9196,102.4031,1.9348,103.9944,1.3502,103.9944,1.3502
