day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Mon,010140,0140,0800,380,SIN,SIN,BKK,BKK,1.6178,70.6488,1416.9087,-8.5947e-11,25041.1549,24636.0464,103.9944,1.3502,103.9944,1.3502,103.5287,3.1553,101.2393,11.8676,100.7473,13.6811,100.7473,13.6811
Mon,012310,2310,1035,755,SIN,SIN,BKK,BKK,0.7812,71.8499,1416.9087,1.005e-10,20969.1945,20805.3833,103.9944,1.3502,103.9944,1.3502,103.5216,3.1826,101.1921,12.0428,100.7473,13.6811,100.7473,13.6811
Mon,010830,0830,1130,180,BKK,BKK,SIN,SIN,1.6178,70.6488,1416.9087,-5.3205e-11,25041.1549,24636.0464,100.7473,13.6811,100.7473,13.6811,101.2363,11.879,103.5257,3.1667,103.9944,1.3502,103.9944,1.3502
Mon,010240,0240,1400,680,BKK,BKK,SIN,SIN,0.7812,71.8499,1416.9087,-6.6848e-11,20969.1945,20805.3833,100.7473,13.6811,100.7473,13.6811,101.2436,11.8517,103.5711,2.9912,103.9944,1.3502,103.9944,1.3502
Mon,010530,0530,0355,44.5876,BKK,RGN,SIN,SIN,1.7916,60.154,1699.2303,49.6221,29135.6416,28613.645,100.7473,13.6811,96.1332,16.9073,100.4373,11.8402,103.4477,3.1448,103.9944,1.3502,103.9944,1.3502
Mon,010455,0455,2355,1140,SIN,SIN,BKK,RGN,0.47476,58.7072,1705.1215,61.4044,29135.6416,28997.3171,103.9944,1.3502,103.9944,1.3502,103.5287,3.1553,101.2393,11.8676,100.7473,13.6811,96.1332,16.9073
Mon,010115,0115,0025,69.1559,SYD,MEL,SIN,SIN,7.4001,84.3936,6234.2006,141.9391,133932.0212,124020.8634,151.1772,-33.9461,144.8433,-37.6733,141.9663,-32.3327,105.2943,-0.026324,103.9944,1.3502,103.9944,1.3502
Mon,010430,0430,1245,495,BNE,BNE,SIN,SIN,7.6254,93.5067,6142.6983,1.2733e-11,81409.1492,75201.3425,153.1175,-27.3842,153.1175,-27.3842,151.1698,-26.6293,105.3793,0.37314,103.9944,1.3502,103.9944,1.3502
Mon,011315,1315,1645,210,SIN,SIN,BNE,BNE,7.6254,93.5067,6142.6983,-5.457e-11,81409.1492,75201.3425,103.9944,1.3502,103.9944,1.3502,105.5408,0.25916,151.372,-26.7094,153.1175,-27.3842,153.1175,-27.3842
Mon,011555,1555,1720,85,SIN,SIN,CDG,ZRH,7.966,93.462,10535.5058,40.5249,268340.9044,246964.9682,103.9944,1.3502,103.9944,1.3502,102.3813,3.1164,11.1143,47.5854,2.5478,49.0097,8.5492,47.4647
Mon,010840,0840,0820,41.6093,ADL,MEL,SIN,SIN,7.7558,87.4458,5721.3658,7.7394,75971.0732,70078.9404,138.5306,-34.945,144.8433,-37.6733,136.8116,-33.6937,105.0445,0.019981,103.9944,1.3502,103.9944,1.3502
Mon,012355,2355,1045,790,SIN,SIN,PER,PER,6.7555,89.3657,3910.7495,2.1828e-11,64693.88,60323.4989,103.9944,1.3502,103.9944,1.3502,104.5641,-0.42483,115.1857,-30.1878,115.9669,-31.9403,115.9669,-31.9403
Mon,011300,1300,0155,664.1327,SIN,SIN,MEL,MEL,6.675,92.1035,6033.0359,-3.638e-12,130659.1807,121937.7236,103.9944,1.3502,103.9944,1.3502,105.5194,-0.49165,142.9451,-36.5365,144.8433,-37.6733,144.8433,-37.6733
Mon,012045,2045,1405,422.6766,SYD,MEL,SIN,SIN,7.2238,84.527,6232.3142,138.1664,107843.6508,100053.2149,151.1772,-33.9461,144.8433,-37.6733,141.6109,-32.8475,105.2754,-0.043935,103.9944,1.3502,103.9944,1.3502
Mon,011645,1645,1215,270,SIN,SIN,SYD,SYD,6.5678,92.7075,6293.4261,8.913e-11,162213.0135,151559.2299,103.9944,1.3502,103.9944,1.3502,105.7371,-0.28721,149.3565,-33.1029,151.1772,-33.9461,151.1772,-33.9461
Mon,010545,0545,0515,6.4342,MEL,SYD,SIN,SIN,7.4208,84.8084,6232.3244,138.1869,158940.173,147145.4935,144.8433,-37.6733,151.1772,-33.9461,141.6101,-32.8499,105.1692,0.071555,103.9944,1.3502,103.9944,1.3502
Mon,011710,1710,2340,390,PER,PER,SIN,SIN,6.7555,89.3657,3910.7495,3.9108e-11,64693.88,60323.4989,115.9669,-31.9403,115.9669,-31.9403,115.1905,-30.1987,104.5677,-0.43602,103.9944,1.3502,103.9944,1.3502
Mon,010130,0130,1715,945,SIN,SIN,PER,PER,6.7555,89.3657,3910.7495,2.1828e-11,64693.88,60323.4989,103.9944,1.3502,103.9944,1.3502,104.5641,-0.42483,115.1857,-30.1878,115.9669,-31.9403,115.9669,-31.9403
