day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6,Exp,SD
Mon,012115,2115,2035,39.8171,ATL,ATL,AMS,DUS,9.1222,92.0112,7152.7248,3.2852,75425.1737,68544.7733,-84.4281,33.6367,-84.4281,33.6367,-82.5292,35.2808,1.5362,53.033,4.7639,52.3086,6.7668,51.2895,70784.3202,1074.4601
Mon,010045,0045,2235,1310.3099,ATL,ATL,CDG,LGW,8.6261,89.6382,6931.5549,17.2661,94801.9618,86624.2578,-84.4281,33.6367,-84.4281,33.6367,-81.604,35.8454,-3.4884,51.1952,2.55,49.0128,-0.19028,51.1481,89819.1106,1182.1297
Mon,010010,0010,2230,1340,ATL,ATL,BCN,MAD,8.7274,90.5009,7183.0799,45.6475,78159.1841,71337.9555,-84.4281,33.6367,-84.4281,33.6367,-82.0994,34.8403,-5.4341,42.0215,2.0785,41.2971,-3.5668,40.4936,73832.6973,1067.4319
Mon,010220,0220,2355,1295,ATL,ATL,LHR,MAN,8.7754,91.8686,6683.1717,24.8013,67904.021,61945.2001,-84.4281,33.6367,-84.4281,33.6367,-82.5365,35.2275,-5.4029,53.0972,-0.46139,51.4775,-2.275,53.3537,64061.6566,971.547
Mon,010025,0025,0210,105.3053,ATL,ATL,DUB,SNN,8.3325,91.413,6254.2017,18.269,55690.5574,51050.1535,-84.4281,33.6367,-84.4281,33.6367,-82.4639,35.2273,-11.6149,53.7648,-6.2701,53.4213,-8.9248,52.702,52832.054,779.7368
Mon,012115,2115,2140,25,ATL,ATL,BRU,STR,8.9205,90.8871,7314.2412,5.8235,74526.7613,67878.5995,-84.4281,33.6367,-84.4281,33.6367,-82.5136,35.2086,1.6593,51.5785,4.4844,50.9014,9.222,48.6899,70042.8515,991.8015
Mon,012330,2330,2335,5,ATL,ATL,FCO,VCE,8.9123,91.7309,8028.7678,81.237,81598.4279,74326.1105,-84.4281,33.6367,-84.4281,33.6367,-82.3827,35.0907,8.3962,45.6081,12.2508,41.8045,12.3519,45.5053,76645.6475,1057.5563
Mon,012015,2015,2215,120,ATL,ATL,MUC,VIE,9.0354,92.0031,7873.2597,20.3887,80286.2304,73032.0422,-84.4281,33.6367,-84.4281,33.6367,-82.5022,35.199,9.2205,49.2073,11.7861,48.3538,16.5697,48.1103,75212.0648,1042.6213
Mon,012105,2105,2035,30,ATL,ATL,MXP,ZRH,9.0492,93.3727,7600.0236,34.0021,77353.2369,70353.3721,-84.4281,33.6367,-84.4281,33.6367,-82.4208,35.1268,5.7443,47.3907,8.7281,45.6306,8.5492,47.4647,72512.7978,1046.9351
Mon,012140,2140,2350,116.3244,BDL,BOS,AMS,MUC,8.0799,85.231,5944.4671,23.8036,56945.118,52343.9889,-72.6832,41.9389,-71.0052,42.3643,-68.3232,43.9086,1.5984,52.3338,4.7639,52.3086,11.7861,48.3538,54193.1787,838.7828
