day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6,Exp,SD
Mon,022115,2115,0045,1230.9375,ATL,ATL,BRU,CDG,7.8249,91.2715,7110.769,59.7934,83770.6335,77215.6986,-84.4281,33.6367,-84.4281,33.6367,-81.5784,35.8227,0.37523,50.635,4.4844,50.9014,2.55,49.0128,79011.5675,1369.8903
Mon,022115,2115,2035,39.8171,ATL,ATL,AMS,DUS,9.1222,92.0112,7152.7248,3.2852,75425.1737,68544.7733,-84.4281,33.6367,-84.4281,33.6367,-82.5292,35.2808,1.5362,53.033,4.7639,52.3086,6.7668,51.2895,70784.3202,1074.4601
Mon,022030,2030,2330,180,ATL,ATL,ATH,FCO,8.8149,88.4136,8627.2308,14.5192,88301.8226,80518.1452,-84.4281,33.6367,-84.4281,33.6367,-82.3185,35.0259,10.0181,42.73,23.9445,37.9364,12.2508,41.8045,82697.3328,1063.1587
Mon,022235,2235,0220,1213.9802,ATL,ATL,LGW,LHR,9.1699,92.5312,6776.1126,1.5516,81641.283,74154.8208,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.2751,-3.6465,52.0883,-0.19028,51.1481,-0.46139,51.4775,76775.7903,1187.4365
Mon,020010,0010,2230,1340,ATL,ATL,BCN,MAD,8.7274,90.5009,7183.0799,45.6475,78159.1841,71337.9555,-84.4281,33.6367,-84.4281,33.6367,-82.0994,34.8403,-5.4341,42.0215,2.0785,41.2971,-3.5668,40.4936,73832.6973,1067.4319
Mon,020025,0025,2355,1410.188,ATL,ATL,DUB,MAN,8.8597,90.4657,6453.7402,3.594,67943.8282,61924.231,-84.4281,33.6367,-84.4281,33.6367,-82.4919,35.2507,-9.714,53.8529,-6.2701,53.4213,-2.275,53.3537,64241.6227,991.7782
Mon,022030,2030,2015,14.8206,ATL,ATL,FRA,MUC,9.1416,91.6217,7556.8555,3.5505,79757.3298,72466.2124,-84.4281,33.6367,-84.4281,33.6367,-82.4853,35.2452,5.5471,50.8726,8.5431,50.0264,11.7861,48.3538,74813.4511,1088.3185
Mon,022105,2105,2335,150,ATL,ATL,MXP,VCE,9.0875,92.3592,7769.8981,14.9225,79230.576,72030.4593,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.0947,6.2743,46.4588,8.7281,45.6306,12.3519,45.5053,74242.0669,1042.9282
Mon,022140,2140,2035,65,ATL,ATL,STR,ZRH,8.6666,94.1383,7539.0419,29.9404,76737.828,70087.2899,-84.4281,33.6367,-84.4281,33.6367,-82.4639,35.1659,6.8296,48.9713,9.222,48.6899,8.5492,47.4647,71899.8674,1003.5394
Mon,022140,2140,2315,81.3213,BDL,BOS,AMS,AMS,8.0437,90.014,5617.2758,3.093,53133.2984,48859.4346,-72.6832,41.9389,-71.0052,42.3643,-68.3238,43.9092,1.7745,52.9458,4.7639,52.3086,4.7639,52.3086,50299.7504,865.6457
Mon,022230,2230,2300,30,BOS,BOS,DUB,SNN,7.8322,87.6941,4730.0052,11.1478,56637.6842,52201.7049,-71.0052,42.3643,-71.0052,42.3643,-68.2416,43.8232,-12.0442,53.5439,-6.2701,53.4213,-8.9248,52.702,54630.8233,944.8107
Mon,022025,2025,0135,1129.9114,BOS,BOS,MXP,ZRH,7.3821,89.368,6075.5536,27.0006,77028.2578,71341.965,-71.0052,42.3643,-71.0052,42.3643,-67.3133,44.1051,5.3766,47.6526,8.7281,45.6306,8.5492,47.4647,73620.9391,1209.2262
Mon,022205,2205,0120,1191.8366,BOS,BWI,LHR,LHR,8.1572,86.6236,5536.4255,0.22697,80581.6961,74008.4974,-71.0052,42.3643,-76.6683,39.1754,-68.6861,43.5947,-3.3884,52.0284,-0.46139,51.4775,-0.46139,51.4775,76581.7435,1274.0054
Mon,022215,2215,2120,85.2575,ATL,CLT,VIE,FRA,7.9422,87.2339,7649.9732,8.0005,89993.885,82846.4304,-84.4281,33.6367,-80.9431,35.214,-78.0948,37.4497,8.7336,50.9303,16.5697,48.1103,11.7861,50.0264,84436.6717,1097.4092
Mon,020210,0210,2355,1273.1279,ATL,CLT,SNN,LGW,8.2225,84.4305,6306.2022,7.1509,60169.0995,55221.6986,-84.4281,33.6367,-80.9431,35.214,-78.6725,36.9007,-12.0657,53.0223,-8.9248,52.702,-0.19028,51.1481,56902.5169,682.9101
Mon,022350,2350,2030,89.3215,BOS,CLT,MUC,MUC,7.6272,82.3459,6663.4381,10.9086,80561.7217,74417.0892,-71.0052,42.3643,-80.9431,35.214,-68.2043,43.7889,6.1724,49.3143,11.7861,48.3538,8.5431,48.3538,75863.1781,1170.3709
Mon,022200,2200,2330,189.6365,BOS,CVG,FCO,FCO,7.8395,85.2475,7168.4897,39.6474,72865.1696,67152.8981,-71.0052,42.3643,-84.6678,39.0488,-68.3561,43.4602,10.0444,42.7647,12.2508,41.8045,12.2508,41.8045,68984.5391,1225.81
Mon,022330,2330,2350,20,CVG,CVG,CDG,FRA,8.8649,91.276,6556.3827,0.33758,66728.3751,60812.9511,-84.6678,39.0488,-84.6678,39.0488,-82.4573,40.4904,-2.922,50.7711,2.55,49.0128,-0.19028,50.0264,63257.9222,1164.7504
Mon,022005,2005,2345,220,DEN,DEN,LHR,MUC,8.5736,89.9258,8224.7197,92.3582,110423.9012,100956.5711,-104.6732,39.8617,-104.6732,39.8617,-102.0403,42.3776,5.7042,52.5812,11.7861,51.4775,8.5431,48.3538,104469.1122,1477.4704
Mon,020040,0040,2210,1290.995,DFW,DFW,AMS,FRA,9.0435,91.6117,7745.2554,15.0068,93140.4115,84717.2121,-97.038,32.8968,-97.038,32.8968,-95.1705,34.6597,-3.5535,53.1755,-0.46139,52.3086,2.55,50.0264,87271.837,1318.4968
Mon,022010,2010,1945,24.2817,DFW,DFW,CDG,LHR,8.6441,91.3333,8169.2053,84.4552,105299.443,96197.2916,-97.038,32.8968,-97.038,32.8968,-95.0698,34.775,1.7684,51.9848,4.7639,49.0128,8.5431,51.4775,99182.0311,1377.045
Mon,020010,0010,0140,63.4086,CVG,DTW,AMS,CDG,8.2917,88.7274,6673.1216,71.9709,45745.1124,41952.059,-84.6678,39.0488,-83.3534,42.2124,-80.7049,43.0829,1.6392,52.0323,4.7639,52.3086,6.7668,49.0128,43314.6444,656.802
Mon,022210,2210,2300,49.973,DTW,DTW,DUS,FRA,8.3005,90.0531,6179.9634,0.96758,74177.5743,68020.494,-83.3534,42.2124,-83.3534,42.2124,-80.7188,43.7945,-3.2471,52.069,-0.46139,51.2895,2.55,50.0264,70323.4017,1205.8698
Mon,022335,2335,1950,256.1841,CVG,DTW,LGW,LHR,7.6994,90.0739,6780.1121,26.8603,75215.9214,69424.7646,-84.6678,39.0488,-83.3534,42.2124,-80.8489,43.9055,5.8685,52.4119,8.5431,51.1481,8.5431,51.4775,71230.1322,1122.8755
Mon,020305,0305,2300,1225.015,BOS,EWR,CDG,CDG,7.8625,88.2551,5695.417,0.0030732,67952.003,62609.2724,-71.0052,42.3643,-74.1687,40.6925,-68.1653,43.7407,-0.43364,49.7474,2.55,49.0128,2.55,49.0128,64931.1041,1211.5829
Mon,022300,2300,2305,5,EWR,EWR,BHX,DUB,8.4994,88.4378,5284.9762,0.66292,36408.5953,33314.0849,-74.1687,40.6925,-74.1687,40.6925,-71.9716,42.0393,-9.4467,53.8052,-1.748,52.4539,-6.2701,53.4213,34771.5899,647.9029
Mon,022235,2235,2035,120.3824,EWR,EWR,AMS,DUS,8.5135,88.6657,5955.2037,3.5099,72745.5787,66552.3675,-74.1687,40.6925,-74.1687,40.6925,-70.8812,42.7526,1.522,53.0077,4.7639,52.3086,6.7668,51.2895,69356.8376,1491.7958
Mon,020120,0120,2335,1335,EWR,EWR,BFS,GLA,8.405,90.7184,5156.4791,32.146,35424.7141,32447.2499,-74.1687,40.6925,-74.1687,40.6925,-72.0488,42.1082,-8.786,55.883,-6.2158,54.6575,-4.4331,55.8719,33866.2767,655.8259
Mon,022140,2140,2115,6.0105,EWR,IAD,CPH,CPH,8.1159,89.3907,6375.4337,4.8002,75950.8497,69786.7679,-74.1687,40.6925,-77.4558,38.9445,-71.8673,42.492,9.22,56.4079,12.656,55.6179,12.656,55.6179,72292.7082,1293.4593
Mon,020140,0140,2123,1235.5921,BOS,IAD,FRA,FRA,7.5727,85.1144,6219.2009,1.382,103446.0834,95612.3703,-71.0052,42.3643,-77.4558,38.9445,-67.4636,44.2683,5.4517,50.8722,8.5431,50.0264,8.5431,50.0264,98399.486,1825.9448
Mon,020010,0010,2105,1254.2333,IAH,IAH,CDG,FRA,9.2599,92.7618,8119.4457,1.009,100973.2454,91623.1858,-95.3414,29.9844,-95.3414,29.9844,-93.4957,31.7183,-0.39763,50.8829,4.7639,49.0128,2.55,50.0264,94338.7601,1442.4596
Mon,022125,2125,2100,24.2283,IAH,IAH,AMS,LGW,8.569,94.1684,7769.4981,17.8891,96484.6205,88216.8301,-95.3414,29.9844,-95.3414,29.9844,-93.535,31.7487,-2.6535,52.5795,-0.46139,52.3086,-0.19028,51.1481,90285.879,1367.6949
Mon,022125,2125,2035,85.7959,DTW,IAH,AMS,LHR,7.9161,80.4531,7325.4863,5.7357,142856.1903,131547.5881,-83.3534,42.2124,-95.3414,29.9844,-81.2408,43.6262,2.1546,53.1086,4.7639,52.3086,8.5431,51.4775,134045.8119,2163.6561
Mon,020055,0055,0225,88.0284,EWR,JFK,BRS,AMS,8.604,89.9194,5334.8562,6.6872,36727.2002,33567.1867,-74.1687,40.6925,-73.7789,40.6398,-71.5476,41.9521,-7.5739,52.7559,-2.7191,51.3827,-4.4991,52.3086,34956.2286,637.5927
Mon,022230,2230,2135,56.696,EWR,JFK,BRU,BRU,8.5982,90.5309,5820.4783,6.0816,61326.5256,56053.5177,-74.1687,40.6925,-73.7789,40.6398,-71.4361,42.007,-0.78275,51.5124,4.4844,50.9014,2.0785,50.9014,58392.0888,1118.8838
Mon,020035,0035,0010,27.2493,EWR,JFK,GVA,BUD,8.4816,90.1053,6132.4385,6.5164,73060.7991,66864.0522,-74.1687,40.6925,-73.7789,40.6398,-71.0429,42.0474,1.6301,48.2381,6.109,46.2381,4.4844,47.4369,69580.4875,1238.9086
Mon,022150,2150,2145,6.8198,EWR,JFK,TXL,CDG,8.5058,88.1474,6663.1623,14.7224,53392.1446,48850.7296,-74.1687,40.6925,-73.7789,40.6398,-71.3148,42.3601,10.3842,53.3594,13.2877,52.5597,19.2556,49.0128,50789.2974,836.2012
Mon,022117,2117,0500,1009.8357,IAD,JFK,AMS,DUB,7.9431,86.8288,5940.9351,8.5614,65382.2097,60188.8553,-77.4558,38.9445,-73.7789,40.6398,-71.2702,42.2724,-0.80722,54.0275,4.7639,52.3086,2.55,53.4213,62398.6665,1059.015
Mon,022130,2130,2145,11.6566,EWR,JFK,HAM,EDI,8.0652,89.086,5998.0738,26.2123,56407.0206,51857.6797,-74.1687,40.6925,-73.7789,40.6398,-71.5212,42.4895,3.5225,56.5344,9.9882,53.6304,6.7668,55.95,53561.0801,929.8831
