day,date,TA,TB,tdiff,Dept_A,Dept_B,Dest_A,Dest_B,FB_pc,cruise_pc,Distance,dev,FB_solo,FB_form,lon1,lat1,lon2,lat2,lon3,lat3,lon4,lat4,lon5,lat5,lon6,lat6
Mon,012115,2115,2035,39.8171,ATL,ATL,AMS,DUS,9.0197,92.0112,7152.7248,3.2852,85509.2311,77796.5325,-84.4281,33.6367,-84.4281,33.6367,-82.5292,35.2808,1.5362,53.033,4.7639,52.3086,6.7668,51.2895
Mon,010010,0010,2330,39.8241,ATL,ATL,BCN,FCO,8.6058,88.4886,7770.098,94.103,92076.8534,84152.9142,-84.4281,33.6367,-84.4281,33.6367,-82.1587,34.9166,-0.4781,42.1419,2.0785,41.2971,12.2508,41.8045
Mon,010025,0025,2355,29.812,ATL,ATL,DUB,MAN,8.8959,90.4657,6453.7402,3.594,77350.0641,70469.0641,-84.4281,33.6367,-84.4281,33.6367,-82.4919,35.2507,-9.714,53.8529,-6.2701,53.4213,-2.275,53.3537
Mon,012030,2030,2015,14.8206,ATL,ATL,FRA,MUC,9.0767,91.6217,7556.8555,3.5505,90194.2512,82007.6148,-84.4281,33.6367,-84.4281,33.6367,-82.4853,35.2452,5.5471,50.8726,8.5431,50.0264,11.7861,48.3538
Mon,012030,2030,2105,35,ATL,ATL,ATH,MXP,9.2956,85.4856,8394.6551,0.7926,97257.2034,88216.5416,-84.4281,33.6367,-84.4281,33.6367,-82.3868,35.0947,6.2743,46.4588,23.9445,37.9364,8.7281,45.6306
Mon,010220,0220,0210,9.8765,ATL,ATL,LHR,SNN,7.1616,88.268,6464.0193,0.24856,63271.6952,58740.4548,-84.4281,33.6367,-84.4281,33.6367,-82.4867,35.1857,-12.0566,53.0575,-0.46139,51.4775,-8.9248,52.702
Mon,012115,2115,2140,25,ATL,ATL,BRU,STR,9.0792,90.8871,7314.2412,5.8235,85013.3209,77294.8256,-84.4281,33.6367,-84.4281,33.6367,-82.5136,35.2086,1.6593,51.5785,4.4844,50.9014,9.222,48.6899
Mon,012235,2235,2215,19.0079,ATL,ATL,LGW,VIE,9.0171,84.9697,7413.922,13.5564,101774.7419,92597.6357,-84.4281,33.6367,-84.4281,33.6367,-82.3766,35.2663,-3.3463,51.7716,-0.19028,51.1481,16.5697,48.1103
Mon,010045,0045,0305,5.331,ATL,BOS,CDG,CDG,8.0683,79.7325,6295.0328,0.07786,92152.4741,84717.3619,-84.4281,33.6367,-71.0052,42.3643,-68.1653,43.7407,-0.52951,49.7694,2.55,49.0128,2.55,49.0128
Mon,012230,2230,2300,30,BOS,BOS,DUB,SNN,8.2886,87.4435,4732.4642,16.0658,64222.652,58899.495,-71.0052,42.3643,-71.0052,42.3643,-68.2322,43.8134,-12.3124,53.0689,-6.2701,53.4213,-8.9248,52.702
Mon,010140,0140,0135,5,BOS,BOS,FRA,ZRH,8.0063,88.3849,5989.072,80.3145,92990.3071,85545.1995,-71.0052,42.3643,-71.0052,42.3643,-67.4636,44.2683,5.4517,50.8722,8.5431,50.0264,8.5492,47.4647
Mon,012335,2335,0120,28.0967,ATL,BWI,VCE,LHR,8.7511,78.2264,6870.9023,18.2899,79930.3411,72935.5502,-84.4281,33.6367,-76.6683,39.1754,-74.43,40.5948,-3.385,52.0358,12.3519,45.5053,-0.46139,51.4775
Mon,012330,2330,2330,2.7742e-05,CVG,CVG,CDG,FCO,8.836,86.0726,7216.4486,35.1356,83741.9473,76342.5242,-84.6678,39.0488,-84.6678,39.0488,-82.4514,40.485,-0.080136,49.8247,2.55,49.0128,12.2508,41.8045
Mon,012350,2350,2335,15,CVG,CVG,FRA,LGW,8.3561,88.8016,6739.073,97.058,77994.5582,71477.2369,-84.6678,39.0488,-84.6678,39.0488,-82.4573,40.4904,-2.922,50.7711,-0.19028,50.0264,8.5431,51.1481
Mon,012005,2005,1945,2.7806,DEN,DFW,LHR,LHR,7.6789,82.1021,8279.2137,245.087,129151.4152,119234.041,-104.6732,39.8617,-97.038,32.8968,-92.9852,43.8314,6.4574,53.1071,11.7861,51.4775,8.5431,51.4775
Mon,012010,2010,2210,21.7877,DFW,DTW,CDG,DUS,8.5118,78.71,7070.5748,3.9486,94023.8401,86020.7406,-97.038,32.8968,-83.3534,42.2124,-80.7188,43.7945,-3.2471,52.069,4.7639,49.0128,-0.46139,51.2895
Mon,010010,0010,0120,5.65,CVG,EWR,AMS,BFS,7.8707,79.352,5924.9961,103.2236,45554.2987,41968.8519,-84.6678,39.0488,-74.1687,40.6925,-73.6652,42.7809,-9.4925,55.0302,4.7639,52.3086,-6.2158,54.6575
Mon,012315,2315,2300,14.29,BOS,EWR,AMS,BHX,8.4308,84.1883,5502.0637,11.9518,58068.2116,53172.6234,-71.0052,42.3643,-74.1687,40.6925,-68.2695,43.8565,-4.8114,52.9571,4.7639,52.3086,-1.748,52.4539
Mon,012350,2350,2325,3.5046,BOS,EWR,MUC,FRA,8.6822,86.5979,6197.3156,4.0418,72634.7417,66328.4609,-71.0052,42.3643,-74.1687,40.6925,-68.2685,43.8555,5.3764,50.8914,11.7861,48.3538,8.5431,50.0264
Mon,012350,2350,2335,15,EWR,EWR,EDI,GLA,8.7702,90.7481,5213.8282,0.87455,40606.3772,37045.127,-74.1687,40.6925,-74.1687,40.6925,-72.089,42.1418,-7.8199,56.2186,-3.3725,55.95,-4.4331,55.8719
Mon,012140,2140,2150,10,EWR,EWR,FCO,MXP,8.7257,89.0669,6682.4705,37.7026,82029.9851,74872.3136,-74.1687,40.6925,-74.1687,40.6925,-71.6669,41.9675,6.0318,46.5574,12.2508,41.8045,8.7281,45.6306
Mon,012300,2300,2305,6.8393,EWR,EWR,CDG,ORY,8.4298,91.3178,5857.3444,2.5546,62161.3766,56921.3231,-74.1687,40.6925,-74.1687,40.6925,-71.4725,42.1461,-0.43322,49.7482,2.55,49.0128,2.3594,48.7253
Mon,012305,2305,2325,20,EWR,EWR,DUB,SNN,8.558,89.3706,5054.7974,17.0829,39353.3787,35985.5123,-74.1687,40.6925,-74.1687,40.6925,-71.9268,41.9963,-12.0585,53.0507,-6.2701,53.4213,-8.9248,52.702
Mon,012130,2130,2150,20,EWR,EWR,HAM,TXL,8.9645,90.8087,6262.6019,0.28004,48471.1843,44125.9732,-74.1687,40.6925,-74.1687,40.6925,-72.1056,42.1552,6.9563,54.3525,9.9882,53.6304,13.2877,52.5597
Mon,012120,2120,2115,25.8138,EWR,IAD,ARN,CPH,7.8703,83.6277,6482.4087,118.3833,86249.2675,79461.1499,-74.1687,40.6925,-77.4558,38.9445,-71.982,42.5712,6.056,59.2155,17.9186,59.6519,12.656,55.6179
Mon,012330,2330,2310,9.7323,EWR,IAD,MAN,DUB,7.9516,85.829,5425.7209,4.3721,57844.9326,53245.3092,-74.1687,40.6925,-77.4558,38.9445,-71.9716,42.0393,-9.7028,53.8322,-2.275,53.3537,-6.2701,53.4213
Mon,012200,2200,2128,32,IAD,IAD,BRU,MUC,8.9198,87.9475,6545.3302,0.71974,106578.6819,97072.0575,-77.4558,38.9445,-77.4558,38.9445,-75.1352,40.4711,1.4031,51.6354,4.4844,50.9014,11.7861,48.3538
Mon,012120,2120,2200,4.9664,CLT,IAD,FRA,VIE,8.8733,86.6886,7218.935,4.787,114601.4476,104432.5475,-80.9431,35.214,-77.4558,38.9445,-75.1817,40.5125,8.7544,50.9595,11.7861,50.0264,16.5697,48.1103
Mon,012035,2035,2140,6.7288,ATL,IAD,ZRH,ZRH,9.0232,87.501,7102.6027,0.52828,82650.4159,75192.6721,-84.4281,33.6367,-77.4558,38.9445,-75.1804,40.3207,5.9999,48.2786,8.5492,47.4647,8.5492,47.4647
Mon,010040,0040,0010,15.7872,DFW,IAH,AMS,CDG,8.6208,89.2492,7951.709,101.7183,111886.7107,102241.1691,-97.038,32.8968,-95.3414,29.9844,-94.3189,34.013,-3.5781,53.1409,-0.46139,52.3086,4.7639,49.0128
Mon,012105,2105,2100,4.2281,IAH,IAH,FRA,LGW,9.1353,92.3166,7908.9777,1.1691,112829.6391,102522.3613,-95.3414,29.9844,-95.3414,29.9844,-93.5068,31.727,-3.2965,51.9377,2.55,50.0264,-0.19028,51.1481
Mon,010030,0030,0050,10.7118,IAD,JFK,FCO,ATH,7.9895,82.3456,6954.269,147.4286,80142.8688,73739.8781,-77.4558,38.9445,-73.7789,40.6398,-71.1471,41.6584,0.37835,42.3111,12.2508,41.8045,4.7639,37.9364
Mon,012205,2205,2135,2.1551,BOS,JFK,LHR,BRU,8.6832,87.7055,5483.6051,0.11502,95504.6162,87211.7374,-71.0052,42.3643,-73.7789,40.6398,-68.6861,43.5947,-3.1976,51.9951,-0.46139,51.4775,2.0785,50.9014
Mon,010035,0035,0010,27.142,EWR,JFK,GVA,BUD,8.7563,90.0531,6132.2583,6.1559,82436.76,75218.3359,-74.1687,40.6925,-73.7789,40.6398,-71.1035,42.1702,1.6315,48.2405,6.109,46.2381,4.4844,47.4369
Mon,012140,2140,2145,18.6349,BDL,JFK,AMS,CDG,8.5481,82.9651,6308.1533,7.9837,57244.0264,52350.7503,-72.6832,41.9389,-73.7789,40.6398,-70.4412,43.2842,1.7852,52.965,4.7639,52.3086,19.2556,49.0128
Mon,012250,2250,2330,11.8399,IAD,JFK,LHR,DUS,8.4005,85.0214,5538.8977,17.9855,99912.9966,91519.8204,-77.4558,38.9445,-73.7789,40.6398,-71.3893,41.9597,-8.887,52.3214,-0.46139,51.4775,-6.2701,51.2895
Mon,012140,2140,2145,3.3989,EWR,JFK,CPH,EDI,8.4925,88.6531,6024.5542,9.8931,80442.0027,73610.4997,-74.1687,40.6925,-73.7789,40.6398,-71.5842,42.5693,3.5234,56.5359,12.656,55.6179,6.7668,55.95
Mon,010215,0215,0200,9.5057,BOS,JFK,TER,FCO,4.4472,64.1802,4823.0387,240.4693,51749.1557,49447.7641,-71.0052,42.3643,-73.7789,40.6398,-66.691,42.7759,-29.6901,39.4854,-27.0908,38.7618,-3.3725,41.8045
Mon,012025,2025,1950,9.7061,BOS,JFK,MXP,FRA,7.7027,83.2415,6330.3384,119.4576,80717.6228,74500.1839,-71.0052,42.3643,-73.7789,40.6398,-68.201,43.7803,3.1778,49.7452,8.7281,45.6306,12.2508,50.0264
Mon,012350,2350,2330,23.3089,EWR,JFK,OSL,HEL,8.126,88.7445,5794.9668,6.4624,61115.5395,56149.2607,-74.1687,40.6925,-73.7789,40.6398,-71.6531,42.5564,2.003,60.8087,11.1004,60.1939,6.109,60.3172
Mon,012035,2035,2000,36.5379,EWR,JFK,DUS,KEF,5.2708,61.8156,6465.4524,314.9298,98372.9881,93187.942,-74.1687,40.6925,-73.7789,40.6398,-70.9874,43.1417,-17.5952,60.2365,6.7668,51.2895,28.8146,63.985
Mon,010055,0055,0035,21.5573,EWR,JFK,BRS,LHR,7.7852,75.8302,4740.2477,28.0228,36954.2148,34077.2411,-74.1687,40.6925,-73.7789,40.6398,-71.9222,42.2558,-25.6936,51.5489,-2.7191,51.3827,-22.6056,51.4775
Mon,012230,2230,2340,25.9484,ATL,JFK,MAD,MAD,8.5403,82.9089,6369.7327,18.2198,76535.9781,69999.5552,-84.4281,33.6367,-73.7789,40.6398,-71.0688,41.5298,-6.0919,41.3384,-3.5668,40.4936,-3.5668,40.4936
